City,Country,City ID,Latitude,Longitude,Temperature,Max Temp,Humidity,Wind,Clouds,Date
Puerto Ayora,EC,3652764,-0.74,-90.35,69.01,69.01,94,3.0,91,1602727975
Portland,AU,2152667,-38.33,141.6,58.23,58.23,91,8.88,100,1602727978
Aswān,EG,359792,24.09,32.91,79.79,79.79,27,5.35,0,1602727979
Tamworth,AU,2147497,-31.1,150.93,78.8,78.8,31,4.7,0,1602727821
Natal,BR,3394023,-5.79,-35.21,77.0,77.0,83,8.05,40,1602727864
Port Alfred,ZA,964432,-33.59,26.89,58.33,58.33,74,6.82,0,1602727983
Kodinsk,RU,1503037,58.69,99.18,39.78,39.78,88,12.59,100,1602727985
Nanortalik,GL,3421765,60.14,-45.24,37.22,37.22,83,0.4,26,1602727986
Touros,BR,3386213,-5.2,-35.46,77.0,77.0,83,8.05,40,1602727987
Thompson,CA,6165406,55.74,-97.86,28.4,28.4,86,19.46,90,1602727805
Busselton,AU,2075265,-33.65,115.33,61.18,64.0,49,6.89,5,1602727802
Klaksvík,FO,2618795,62.23,-6.59,44.6,44.6,75,5.61,100,1602727990
Albany,AU,2077963,-35.02,117.89,57.2,57.2,67,6.93,75,1602727991
Sungai Raya,ID,1625908,0.7,108.9,81.99,81.99,79,9.64,99,1602727992
Ancud,CL,3899695,-41.87,-73.82,45.68,46.99,81,2.24,42,1602727994
Bluff,NZ,2206939,-46.6,168.33,55.99,55.99,46,8.01,0,1602727995
Butaritari,KI,2110227,3.07,172.79,82.15,82.15,75,10.09,66,1602727996
Provideniya,RU,4031574,64.38,-173.3,39.2,39.2,93,11.18,90,1602727913
Kazachinskoye,RU,1504075,57.7,93.28,42.87,42.87,79,14.16,100,1602727998
Leningradskiy,RU,2123814,69.38,178.42,34.11,34.11,87,7.96,100,1602727999
Ha Tinh,VN,1581047,18.33,105.9,75.81,75.81,92,8.03,100,1602728000
Atasū,KZ,1526041,48.68,71.64,44.1,44.1,60,5.03,0,1602728001
